,Unnamed: 0,repo_name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0,0,libnvidia-container,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,deepops,0.0,1.0,1.0,1.0,11.0,5.0,18.0,3.0,17.0,2.0,1.0,2.0,4.0,2.0,0.0,6.0,9.0,3.0,0.0,4.0,18.0,19.0,16.0,13.0,1.0,20.0,16.0,1.0,10.0,30.0,31.0,32.0,14.0,1.0,5.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,1.0,2.0,18.0,3.0,1.0,0.0,0.0,0.0
2,0,NeMo,4.0,10.0,10.0,9.0,18.0,8.0,12.0,7.0,8.0,11.0,16.0,8.0,7.0,9.0,12.0,11.0,16.0,21.0,3.0,2.0,9.0,29.0,23.0,41.0,28.0,20.0,41.0,11.0,6.0,12.0,14.0,4.0,25.0,7.0,11.0,8.0,30.0,12.0,1.0,14.0,7.0,26.0,18.0,8.0,3.0,9.0,15.0,15.0,2.0,26.0,25.0,1.0
3,0,spark-rapids-examples,3.0,1.0,1.0,1.0,1.0,2.0,13.0,0.0,2.0,5.0,1.0,3.0,4.0,2.0,1.0,0.0,0.0,5.0,6.0,2.0,1.0,4.0,3.0,2.0,2.0,2.0,4.0,6.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,6.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0
4,0,MatX,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,2.0,10.0,6.0,12.0,3.0,1.0,10.0,8.0,4.0,2.0,0.0,15.0,21.0,6.0,2.0,9.0,3.0,2.0,1.0,7.0,6.0,2.0,3.0,1.0,2.0,5.0,2.0,1.0,0.0,2.0,3.0,4.0,3.0,0.0,1.0,6.0,11.0,9.0,4.0,2.0,2.0
5,0,FasterTransformer,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,0,NVFlare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,19.0,6.0,8.0,0.0,0.0,15.0,4.0,13.0,3.0,8.0,10.0,0.0,0.0,1.0,21.0,13.0,7.0,14.0,6.0,7.0,18.0,25.0,23.0,39.0,42.0,28.0,12.0,12.0,24.0,3.0,5.0,3.0,2.0,3.0,7.0,4.0,3.0
7,0,spark-rapids,8.0,16.0,11.0,18.0,24.0,23.0,11.0,6.0,10.0,9.0,12.0,13.0,12.0,10.0,9.0,12.0,12.0,9.0,6.0,1.0,12.0,14.0,12.0,8.0,5.0,13.0,11.0,8.0,5.0,12.0,7.0,17.0,11.0,8.0,9.0,9.0,10.0,6.0,1.0,16.0,6.0,9.0,11.0,14.0,10.0,6.0,7.0,4.0,9.0,14.0,17.0,2.0
8,0,apex,1.0,0.0,15.0,1.0,0.0,1.0,2.0,3.0,3.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,1.0,2.0,2.0,4.0,3.0,1.0,7.0,1.0,4.0,4.0,12.0,14.0,7.0,1.0,1.0,2.0,0.0,1.0,3.0,0.0,1.0,0.0,3.0,3.0,0.0,2.0,2.0,1.0,3.0,2.0,3.0
9,0,TensorRT,1.0,2.0,2.0,1.0,1.0,9.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,7.0,0.0,1.0,8.0,3.0,1.0,3.0,1.0,1.0,2.0,5.0,1.0,1.0,5.0,1.0,2.0,6.0,2.0,4.0,6.0,9.0,9.0,18.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,1.0
10,0,thrust,3.0,5.0,1.0,1.0,1.0,7.0,6.0,1.0,4.0,7.0,15.0,3.0,3.0,2.0,1.0,3.0,0.0,11.0,15.0,0.0,1.0,6.0,15.0,11.0,1.0,6.0,9.0,1.0,0.0,0.0,1.0,5.0,1.0,3.0,4.0,1.0,6.0,7.0,1.0,7.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,7.0,4.0,7.0,1.0
11,0,cub,21.0,4.0,1.0,1.0,1.0,7.0,2.0,3.0,1.0,10.0,8.0,1.0,3.0,1.0,0.0,4.0,0.0,6.0,1.0,0.0,0.0,3.0,7.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,2.0,4.0,1.0,3.0,1.0,3.0,5.0,3.0,2.0,2.0,4.0,12.0,1.0,6.0,6.0,2.0,1.0,2.0,4.0,1.0,6.0,1.0
12,0,Megatron-LM,22.0,9.0,7.0,2.0,3.0,14.0,9.0,7.0,13.0,5.0,1.0,5.0,0.0,3.0,14.0,14.0,46.0,7.0,1.0,2.0,4.0,15.0,4.0,16.0,14.0,10.0,33.0,6.0,11.0,24.0,19.0,22.0,10.0,0.0,1.0,1.0,3.0,2.0,1.0,16.0,7.0,1.0,5.0,0.0,3.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0
13,0,spark-rapids-jni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,14.0,10.0,13.0,16.0,11.0,8.0,12.0,10.0,21.0,12.0,10.0,16.0,6.0,14.0,5.0,4.0,11.0,28.0,14.0,5.0,10.0,7.0,4.0,12.0,17.0,17.0,29.0,28.0,5.0
14,0,libcudacxx,19.0,1.0,7.0,2.0,1.0,2.0,6.0,0.0,2.0,6.0,6.0,4.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,11.0,3.0,1.0,5.0,15.0,24.0,0.0,2.0,6.0,2.0,4.0,0.0,3.0,2.0,10.0,3.0,2.0,4.0,0.0,1.0,2.0,0.0,2.0,2.0,3.0,4.0,3.0,5.0,3.0,0.0,0.0
15,0,proxyfs,15.0,4.0,4.0,1.0,5.0,6.0,5.0,8.0,2.0,17.0,24.0,13.0,2.0,1.0,2.0,7.0,7.0,8.0,15.0,6.0,9.0,13.0,3.0,2.0,0.0,1.0,1.0,2.0,4.0,17.0,8.0,5.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0
16,0,aistore,9.0,3.0,5.0,14.0,12.0,8.0,5.0,6.0,5.0,10.0,6.0,9.0,7.0,13.0,9.0,13.0,12.0,7.0,7.0,6.0,9.0,12.0,10.0,7.0,10.0,12.0,13.0,10.0,7.0,11.0,7.0,8.0,3.0,5.0,8.0,8.0,13.0,6.0,2.0,7.0,1.0,4.0,7.0,9.0,11.0,9.0,12.0,19.0,13.0,10.0,12.0,6.0
17,0,mig-parted,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,6.0,3.0,3.0,17.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,7.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0
18,0,CUDALibrarySamples,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,22.0,8.0,6.0,1.0,0.0,3.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
19,0,DALI,6.0,21.0,15.0,11.0,19.0,14.0,17.0,13.0,11.0,9.0,15.0,9.0,14.0,5.0,10.0,12.0,7.0,11.0,13.0,1.0,2.0,13.0,8.0,17.0,10.0,11.0,16.0,5.0,8.0,7.0,10.0,9.0,13.0,17.0,14.0,4.0,14.0,6.0,0.0,15.0,6.0,18.0,8.0,12.0,13.0,15.0,6.0,11.0,13.0,26.0,14.0,4.0
20,0,DALI_extra,0.0,1.0,1.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,1.0
21,0,nvidia-container-toolkit,3.0,0.0,0.0,10.0,0.0,15.0,1.0,0.0,9.0,2.0,10.0,9.0,5.0,12.0,13.0,12.0,4.0,0.0,0.0,0.0,0.0,4.0,7.0,3.0,13.0,6.0,12.0,7.0,1.0,10.0,14.0,5.0,9.0,34.0,10.0,3.0,5.0,12.0,10.0,9.0,6.0,12.0,3.0,11.0,5.0,5.0,10.0,6.0,2.0,11.0,0.0,9.0
22,0,dcgm-exporter,2.0,2.0,3.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
23,0,cheminformatics,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0,cutlass,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,6.0,0.0,1.0,0.0,1.0,15.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,0.0,1.0
25,0,gpu-operator,3.0,4.0,2.0,0.0,2.0,1.0,2.0,4.0,7.0,1.0,4.0,0.0,1.0,6.0,1.0,6.0,8.0,6.0,1.0,0.0,1.0,2.0,1.0,1.0,7.0,0.0,2.0,4.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,4.0,2.0,3.0,2.0,8.0,4.0,9.0,3.0,3.0,1.0,1.0,6.0,1.0,1.0,1.0
26,0,cuCollections,3.0,5.0,4.0,2.0,23.0,3.0,8.0,7.0,6.0,0.0,17.0,10.0,7.0,8.0,0.0,2.0,22.0,3.0,4.0,0.0,6.0,4.0,10.0,4.0,0.0,0.0,0.0,6.0,2.0,2.0,4.0,8.0,2.0,2.0,0.0,0.0,3.0,8.0,3.0,10.0,9.0,7.0,11.0,8.0,11.0,0.0,2.0,3.0,1.0,3.0,3.0,2.0
27,0,open-gpu-kernel-modules,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
28,0,cloud-native-core,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,10.0,2.0,1.0,26.0,3.0,3.0,1.0,2.0,14.0,0.0,2.0,0.0,0.0,1.0,0.0,12.0,6.0,3.0,1.0,4.0
29,0,MDL-SDK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0,fsi-samples,0.0,1.0,0.0,0.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0
31,0,nvbench,2.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,19.0,1.0,0.0,7.0,4.0,1.0,8.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
32,0,OptiX_Apps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
33,0,VideoProcessingFramework,0.0,2.0,1.0,1.0,4.0,0.0,1.0,5.0,0.0,1.0,6.0,11.0,8.0,2.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,3.0,15.0,0.0,1.0,2.0,0.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0
34,0,spark-rapids-benchmarks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0
35,0,kubevirt-gpu-device-plugin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0,hpc-container-maker,0.0,2.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0,open-gpu-doc,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
38,0,egl-wayland,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
39,0,flownet2-pytorch,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,0,radtts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,9.0,13.0,1.0,1.0,0.0
41,0,DALI_deps,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
42,0,cuQuantum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
43,0,nccl,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0,VisRTX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,3.0,1.0,8.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,13.0,0.0,0.0,0.0
45,0,air_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
46,0,spark-xgboost-examples,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
47,0,nvidia-xconfig,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
48,0,nvidia-settings,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
49,0,nvidia-persistenced,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
50,0,nvidia-modprobe,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
51,0,nvidia-installer,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
52,0,clara-holoscan-perf-tools,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
53,0,gbm-bench,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
